Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
33,Travel_Rarely,Research & Development,4,4,Medical,3,Female,2,Research Scientist,2,Married,2622,13248,6,4,7,3,3
37,Travel_Frequently,Research & Development,11,3,Other,2,Male,3,Research Director,4,Divorced,12185,10056,1,3,10,1,3
38,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,3,Sales Executive,3,Divorced,10609,9647,0,3,17,6,2
31,Non-Travel,Research & Development,1,4,Medical,3,Male,1,Manufacturing Director,3,Married,4345,4381,0,4,6,2,3
59,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,2,Research Scientist,4,Married,2177,8456,3,1,7,6,3
37,Travel_Frequently,Sales,4,4,Marketing,1,Male,3,Sales Representative,4,Divorced,2793,2539,4,3,13,2,3
29,Travel_Frequently,Sales,1,1,Medical,2,Female,3,Sales Executive,4,Married,7918,6599,1,4,11,5,3
35,Travel_Frequently,Sales,1,3,Marketing,3,Female,3,Sales Executive,3,Single,8789,9096,1,1,10,3,4
29,Travel_Rarely,Research & Development,18,1,Medical,3,Male,2,Research Scientist,4,Single,2389,14961,1,3,4,3,2
52,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,2,Laboratory Technician,4,Single,3212,3300,7,2,6,3,2
42,Travel_Rarely,Research & Development,4,2,Technical Degree,3,Male,3,Manager,4,Married,19232,4933,1,4,22,3,3
59,Travel_Rarely,Human Resources,6,2,Medical,2,Male,3,Human Resources,3,Married,2267,25657,8,4,7,2,2
50,Travel_Rarely,Sales,1,4,Medical,4,Female,3,Manager,4,Divorced,19517,24118,3,3,32,3,2
33,Travel_Rarely,Research & Development,14,3,Medical,3,Male,3,Laboratory Technician,4,Married,2436,22149,5,3,8,2,1
43,Travel_Rarely,Sales,16,3,Marketing,4,Female,3,Manager,4,Married,16064,7744,5,3,22,3,3
33,Travel_Rarely,Research & Development,2,2,Life Sciences,1,Female,3,Laboratory Technician,1,Married,2707,21509,7,1,13,3,4
52,Non-Travel,Sales,2,4,Life Sciences,1,Male,2,Manager,3,Single,19068,21030,1,4,33,2,4
32,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,3,Sales Representative,2,Married,3931,20990,2,1,6,5,3
32,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Male,2,Laboratory Technician,3,Single,3730,9571,0,4,4,2,1
39,Travel_Rarely,Research & Development,1,4,Medical,3,Female,3,Laboratory Technician,3,Divorced,2232,15417,7,3,7,1,3
32,Non-Travel,Sales,26,4,Marketing,3,Male,3,Sales Executive,4,Married,4465,12069,0,1,4,2,3
41,Travel_Rarely,Research & Development,19,2,Life Sciences,3,Male,3,Research Scientist,1,Divorced,3072,19877,2,1,17,2,2
40,Travel_Rarely,Research & Development,24,2,Technical Degree,1,Male,3,Research Scientist,4,Divorced,3319,24447,1,1,9,3,3
45,Travel_Rarely,Research & Development,1,3,Other,3,Male,4,Manager,4,Married,19202,15970,0,3,25,2,3
31,Travel_Frequently,Research & Development,3,4,Medical,2,Male,3,Research Director,3,Divorced,13675,13523,9,1,9,3,3
33,Travel_Rarely,Research & Development,5,4,Life Sciences,3,Female,2,Research Scientist,4,Married,2911,14776,1,3,2,2,2
34,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,Manufacturing Director,1,Married,5957,23687,6,2,13,3,3
37,Travel_Rarely,Research & Development,1,2,Medical,3,Female,2,Research Scientist,1,Married,3920,18697,2,1,17,2,2
45,Travel_Frequently,Research & Development,7,4,Life Sciences,1,Male,4,Manufacturing Director,3,Married,6434,5118,4,4,9,1,3
37,Travel_Frequently,Research & Development,10,3,Medical,1,Male,3,Manufacturing Director,3,Divorced,10048,22573,6,2,17,5,3
39,Travel_Frequently,Research & Development,2,4,Technical Degree,3,Female,3,Healthcare Representative,3,Single,10938,6420,0,4,20,1,3
29,Travel_Rarely,Research & Development,15,3,Life Sciences,3,Male,3,Research Scientist,4,Single,2340,22673,1,1,6,1,3
42,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Female,4,Research Scientist,1,Single,6545,23016,3,3,10,1,3
29,Travel_Rarely,Sales,20,2,Marketing,4,Male,3,Sales Executive,4,Divorced,6931,10732,2,4,10,2,3
25,Travel_Rarely,Research & Development,1,3,Life Sciences,1,Female,3,Manufacturing Director,3,Married,4898,7505,0,4,5,3,3
42,Travel_Rarely,Research & Development,2,3,Medical,4,Female,2,Laboratory Technician,1,Divorced,2593,8007,0,3,10,4,3
40,Travel_Rarely,Research & Development,2,2,Medical,1,Male,3,Research Director,3,Divorced,19436,5949,0,4,22,5,3
51,Travel_Rarely,Research & Development,1,3,Life Sciences,3,Male,3,Research Scientist,4,Married,2723,23231,1,2,1,0,2
31,Travel_Frequently,Research & Development,29,2,Medical,3,Male,2,Laboratory Technician,2,Single,3479,11652,0,2,6,2,4
32,Travel_Frequently,Research & Development,7,3,Life Sciences,2,Male,4,Laboratory Technician,2,Married,2794,26062,1,3,5,3,1
38,Non-Travel,Sales,2,2,Life Sciences,4,Male,2,Sales Executive,4,Married,5249,19682,3,4,13,0,3
32,Travel_Rarely,Research & Development,2,1,Technical Degree,4,Male,2,Laboratory Technician,1,Single,2176,19737,4,4,9,5,3
46,Travel_Rarely,Sales,2,3,Technical Degree,3,Female,1,Manager,2,Married,16872,14977,3,2,28,2,2
28,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Male,3,Laboratory Technician,3,Single,3485,14935,2,3,5,5,1
29,Travel_Rarely,Sales,2,3,Medical,1,Male,2,Sales Executive,2,Married,6644,3687,2,2,10,2,3
31,Travel_Rarely,Research & Development,23,3,Medical,2,Male,2,Healthcare Representative,4,Married,5582,14408,0,2,10,2,3
25,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,4,Healthcare Representative,1,Divorced,4000,18384,1,4,6,2,3
45,Travel_Rarely,Research & Development,20,2,Medical,3,Male,3,Healthcare Representative,4,Married,13496,7501,0,2,21,2,3
36,Travel_Rarely,Research & Development,6,3,Life Sciences,4,Male,3,Laboratory Technician,4,Married,3210,20251,0,3,16,4,3
55,Travel_Rarely,Research & Development,1,3,Medical,4,Male,3,Manager,1,Single,19045,18938,0,3,37,2,3
47,Non-Travel,Research & Development,29,4,Life Sciences,1,Male,3,Manager,2,Married,11849,10268,1,4,10,2,2
28,Travel_Rarely,Research & Development,9,3,Medical,4,Male,3,Research Scientist,4,Married,2070,2613,1,4,5,3,2
37,Travel_Rarely,Sales,6,4,Medical,3,Male,3,Sales Executive,4,Married,6502,22825,4,2,7,5,4
21,Travel_Rarely,Research & Development,3,2,Medical,4,Male,2,Research Scientist,3,Single,3230,10531,1,1,3,4,4
37,Non-Travel,Research & Development,1,4,Medical,1,Female,3,Research Director,4,Divorced,13603,11677,2,1,15,2,3
35,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Female,4,Manager,2,Divorced,11996,19100,7,2,10,6,2
38,Travel_Rarely,Sales,7,2,Medical,1,Female,4,Sales Executive,1,Divorced,5605,19191,1,3,8,3,3
26,Travel_Frequently,Research & Development,1,3,Life Sciences,3,Female,3,Manufacturing Director,2,Divorced,6397,26767,1,1,6,6,1
50,Travel_Rarely,Research & Development,4,1,Life Sciences,1,Male,3,Research Director,2,Divorced,19144,15815,3,1,28,4,2
53,Travel_Rarely,Research & Development,3,4,Medical,3,Male,3,Research Director,3,Married,17584,21016,3,4,21,5,2
42,Travel_Rarely,Sales,1,1,Life Sciences,2,Male,3,Sales Executive,3,Married,4907,24532,1,3,20,3,3
29,Travel_Frequently,Sales,2,2,Life Sciences,2,Male,3,Sales Executive,4,Single,4554,20260,1,1,10,3,2
55,Travel_Rarely,Research & Development,20,2,Technical Degree,2,Male,3,Laboratory Technician,4,Married,5415,15972,3,4,12,4,3
26,Travel_Frequently,Research & Development,11,2,Medical,1,Male,3,Healthcare Representative,1,Married,4741,22722,1,3,5,3,3
37,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,3,Research Scientist,4,Single,2115,15881,1,2,17,3,3
44,Travel_Frequently,Research & Development,24,3,Life Sciences,4,Male,3,Laboratory Technician,3,Divorced,3161,19920,3,4,19,0,1
38,Travel_Rarely,Research & Development,23,4,Life Sciences,4,Male,3,Healthcare Representative,4,Divorced,5745,18899,9,2,10,2,3
26,Travel_Rarely,Research & Development,16,4,Medical,1,Male,3,Laboratory Technician,2,Divorced,2373,14180,2,4,5,2,3
28,Travel_Rarely,Research & Development,8,2,Life Sciences,4,Female,3,Research Scientist,4,Single,3310,4488,1,4,5,3,3
49,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,3,Research Director,1,Single,18665,25594,9,4,22,4,3
36,Travel_Rarely,Research & Development,3,3,Technical Degree,3,Male,3,Research Scientist,2,Single,4485,26285,4,4,10,2,3
31,Travel_Frequently,Sales,5,3,Marketing,4,Female,3,Sales Representative,2,Divorced,2789,3909,1,3,2,5,2
26,Travel_Rarely,Sales,4,4,Marketing,4,Male,2,Sales Executive,4,Single,5828,8450,1,2,8,0,3
37,Travel_Frequently,Research & Development,9,3,Medical,2,Male,3,Research Scientist,4,Married,2326,11411,1,3,4,3,2
42,Travel_Frequently,Sales,26,3,Marketing,3,Female,3,Sales Executive,2,Married,13525,14864,5,4,23,2,4
18,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,3,Laboratory Technician,3,Single,1420,25233,1,3,0,2,3
35,Travel_Rarely,Sales,16,3,Marketing,3,Male,3,Sales Executive,2,Married,8020,5100,0,3,12,3,2
36,Travel_Frequently,Research & Development,18,4,Life Sciences,3,Male,4,Laboratory Technician,4,Married,3688,7122,4,4,4,2,3
51,Travel_Rarely,Research & Development,2,3,Medical,4,Male,1,Manufacturing Director,2,Divorced,5482,16321,5,4,13,3,3
41,Travel_Rarely,Sales,2,4,Life Sciences,4,Male,3,Manager,2,Single,16015,15896,1,2,22,2,3
18,Travel_Rarely,Sales,10,3,Medical,4,Female,2,Sales Representative,3,Single,1200,9724,1,1,0,2,3
28,Travel_Rarely,Research & Development,16,2,Medical,2,Male,4,Healthcare Representative,1,Single,5661,4824,0,3,9,2,3
31,Travel_Rarely,Sales,7,3,Technical Degree,2,Male,4,Sales Executive,4,Married,6929,12241,4,2,10,3,2
39,Travel_Rarely,Research & Development,1,3,Medical,3,Male,4,Healthcare Representative,4,Divorced,9613,10942,0,1,19,5,2
36,Non-Travel,Research & Development,24,4,Life Sciences,2,Female,3,Laboratory Technician,2,Married,5674,6927,7,3,11,3,3
32,Travel_Rarely,Sales,7,3,Life Sciences,4,Male,2,Sales Executive,3,Married,5484,16985,1,3,13,3,2
38,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Female,2,Research Director,2,Married,12061,26707,3,3,19,2,3
58,Non-Travel,Research & Development,1,4,Life Sciences,4,Male,1,Healthcare Representative,3,Divorced,5660,17056,2,4,12,2,3
31,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Research Scientist,4,Married,4821,10077,0,3,6,4,3
31,Travel_Rarely,Human Resources,2,3,Human Resources,1,Male,2,Human Resources,1,Married,6410,17822,3,4,9,1,3
45,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,3,Laboratory Technician,1,Divorced,5210,20308,1,1,24,2,3
31,Travel_Rarely,Research & Development,2,4,Life Sciences,3,Male,3,Research Scientist,4,Divorced,2695,7747,0,2,3,2,1
33,Travel_Frequently,Research & Development,5,4,Life Sciences,4,Female,3,Manager,2,Married,11878,23364,6,2,12,2,3
39,Travel_Rarely,Research & Development,10,1,Medical,3,Male,3,Manager,1,Married,17068,5355,1,4,21,3,3
43,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,3,Laboratory Technician,4,Single,2455,10675,0,1,9,5,3
49,Travel_Rarely,Research & Development,1,2,Technical Degree,3,Female,2,Healthcare Representative,3,Single,13964,17810,7,4,25,2,3
52,Travel_Rarely,Research & Development,8,4,Medical,3,Male,2,Research Scientist,2,Married,4941,17747,2,1,11,3,2
27,Travel_Rarely,Research & Development,5,3,Life Sciences,3,Female,3,Research Scientist,2,Single,2478,20938,1,2,4,2,2
32,Travel_Rarely,Sales,8,2,Technical Degree,3,Female,2,Sales Executive,2,Married,5228,24624,1,4,13,2,3
27,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,3,Sales Executive,3,Single,4478,5242,1,1,5,3,3
31,Travel_Rarely,Sales,7,3,Marketing,4,Male,3,Sales Executive,4,Divorced,7547,7143,4,4,13,3,3
32,Travel_Rarely,Research & Development,2,4,Medical,1,Female,4,Research Scientist,4,Single,5055,10557,7,3,10,0,2
28,Travel_Rarely,Research & Development,2,4,Medical,1,Male,1,Research Scientist,4,Married,3464,24737,5,4,5,4,2
30,Travel_Rarely,Research & Development,28,2,Medical,4,Female,3,Research Scientist,4,Married,5775,11934,1,4,11,2,3
31,Travel_Frequently,Research & Development,7,2,Life Sciences,3,Female,2,Manufacturing Director,3,Married,8943,14034,1,1,10,2,3
39,Travel_Frequently,Research & Development,7,2,Medical,3,Male,2,Manager,4,Married,19272,21141,1,1,21,2,3
39,Travel_Rarely,Sales,3,2,Medical,4,Female,3,Sales Executive,3,Married,5238,17778,4,1,12,3,2
33,Travel_Frequently,Sales,10,3,Marketing,2,Male,2,Sales Executive,4,Single,4682,4317,3,3,9,6,2
47,Travel_Rarely,Research & Development,5,5,Life Sciences,4,Male,3,Research Director,3,Married,18300,16375,4,2,21,2,3
43,Travel_Frequently,Research & Development,10,4,Life Sciences,3,Female,2,Laboratory Technician,3,Divorced,5257,6227,1,2,9,3,4
27,Non-Travel,Sales,1,1,Marketing,3,Male,3,Sales Executive,2,Married,6349,22107,0,4,6,0,3
54,Travel_Frequently,Research & Development,20,4,Life Sciences,4,Female,3,Research Scientist,3,Single,4869,16885,3,4,20,4,2
43,Travel_Rarely,Research & Development,7,3,Life Sciences,3,Female,3,Healthcare Representative,1,Married,9985,9262,8,1,10,1,2
45,Travel_Rarely,Research & Development,8,4,Other,4,Male,3,Research Scientist,4,Married,3697,9278,9,1,12,3,3
40,Travel_Rarely,Sales,1,2,Medical,2,Male,1,Sales Executive,4,Married,7457,13273,2,3,6,2,2
29,Travel_Rarely,Research & Development,8,4,Other,2,Male,1,Laboratory Technician,1,Married,2119,4759,1,4,7,4,2
29,Travel_Rarely,Research & Development,9,5,Other,2,Male,2,Laboratory Technician,4,Single,3983,7621,0,3,4,2,3
30,Travel_Rarely,Sales,5,3,Marketing,4,Female,2,Sales Executive,3,Divorced,6118,5431,1,3,10,2,3
27,Travel_Rarely,Sales,8,4,Marketing,2,Female,3,Sales Executive,2,Married,6214,3415,1,1,8,3,3
37,Travel_Rarely,Research & Development,5,2,Medical,4,Male,3,Manufacturing Director,4,Divorced,6347,23177,7,3,8,2,2
38,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,2,Research Director,4,Divorced,11510,15682,0,2,12,3,3
31,Travel_Rarely,Research & Development,7,4,Medical,3,Female,3,Manufacturing Director,4,Single,7143,25713,1,3,11,2,2
29,Travel_Rarely,Sales,10,1,Marketing,4,Female,2,Sales Executive,2,Divorced,8268,11866,1,1,7,2,3
35,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Manufacturing Director,2,Single,8095,18264,0,4,17,5,3
23,Travel_Rarely,Research & Development,26,1,Life Sciences,3,Male,3,Research Scientist,4,Divorced,2904,16092,1,3,4,2,2
41,Travel_Rarely,Research & Development,6,3,Medical,4,Male,2,Manufacturing Director,2,Single,6032,10110,6,4,8,3,3
47,Travel_Frequently,Sales,4,1,Medical,2,Male,3,Sales Representative,3,Single,2976,25751,3,1,5,3,3
42,Travel_Rarely,Research & Development,23,5,Life Sciences,1,Female,3,Research Director,4,Single,15992,15901,2,2,16,2,3
29,Non-Travel,Sales,2,3,Life Sciences,4,Male,3,Sales Executive,3,Married,4649,16928,1,1,4,3,2
42,Travel_Rarely,Human Resources,2,1,Technical Degree,3,Male,3,Human Resources,3,Divorced,2696,24017,0,3,4,5,3
32,Travel_Rarely,Research & Development,2,3,Medical,3,Female,3,Laboratory Technician,2,Married,2370,3956,1,3,8,4,3
48,Travel_Rarely,Sales,29,1,Medical,1,Female,3,Manager,3,Married,12504,23978,3,2,15,3,1
37,Travel_Rarely,Research & Development,6,3,Medical,3,Male,4,Research Scientist,1,Divorced,5974,17001,4,1,13,2,3
30,Non-Travel,Sales,25,2,Technical Degree,4,Female,3,Sales Executive,3,Married,4736,6069,7,2,4,2,4
26,Travel_Rarely,Sales,1,3,Life Sciences,3,Male,3,Sales Executive,3,Married,5296,20156,1,2,8,3,3
42,Travel_Rarely,Research & Development,2,4,Other,1,Male,2,Healthcare Representative,4,Single,6781,17078,3,2,14,6,3
21,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,2,Sales Representative,2,Single,2174,9150,1,3,3,3,3
36,Non-Travel,Sales,1,5,Medical,4,Female,3,Sales Executive,4,Single,6653,15276,4,2,7,6,3
36,Travel_Frequently,Sales,3,4,Medical,1,Male,2,Sales Executive,4,Married,9699,7246,4,1,16,2,3
57,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,Healthcare Representative,3,Married,6755,2967,2,3,15,2,3
40,Travel_Rarely,Research & Development,10,4,Life Sciences,4,Female,4,Laboratory Technician,3,Married,2213,22495,3,3,10,3,3
21,Non-Travel,Sales,9,2,Medical,1,Male,3,Sales Representative,4,Single,2610,2851,1,3,3,3,2
33,Travel_Rarely,Sales,5,3,Marketing,4,Female,3,Sales Representative,3,Single,2851,9150,1,2,1,2,3
37,Travel_Rarely,Research & Development,10,3,Medical,3,Female,3,Laboratory Technician,1,Married,3452,17663,6,2,17,3,3
46,Non-Travel,Research & Development,7,4,Medical,3,Female,3,Manufacturing Director,3,Married,5258,16044,2,3,7,2,4
41,Travel_Frequently,Sales,4,3,Marketing,1,Male,3,Sales Executive,2,Single,9355,9558,1,3,8,5,3
50,Travel_Rarely,Research & Development,10,3,Technical Degree,4,Male,2,Healthcare Representative,4,Single,10496,2755,6,4,20,2,3
40,Travel_Rarely,Sales,22,2,Marketing,3,Male,2,Sales Executive,3,Married,6380,6110,2,1,8,6,3
31,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,Research Scientist,2,Single,2657,7551,0,4,3,5,3
21,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,4,Sales Representative,2,Single,2716,25422,1,4,1,0,3
29,Travel_Rarely,Research & Development,23,3,Life Sciences,4,Male,3,Research Scientist,4,Single,2201,18168,9,4,6,4,3
35,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,2,Healthcare Representative,2,Single,6540,19394,9,3,10,5,3
27,Travel_Rarely,Research & Development,1,2,Medical,4,Male,3,Laboratory Technician,2,Divorced,3816,17881,1,2,5,2,3
28,Travel_Rarely,Sales,9,4,Life Sciences,2,Male,3,Sales Executive,4,Single,5253,20750,1,4,7,1,3
49,Travel_Rarely,Research & Development,7,3,Other,2,Male,2,Healthcare Representative,3,Single,10965,12066,8,3,26,2,3
51,Travel_Rarely,Sales,14,2,Life Sciences,3,Female,3,Sales Executive,4,Married,4936,14862,4,3,18,2,2
36,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Female,3,Research Scientist,3,Married,2543,11868,4,2,6,3,3
34,Non-Travel,Sales,19,3,Marketing,1,Male,4,Sales Executive,4,Single,5304,4652,8,2,9,3,2
55,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,3,Manager,4,Single,16659,23258,2,3,30,2,3
24,Travel_Rarely,Sales,10,4,Marketing,4,Female,3,Sales Executive,3,Divorced,4260,5915,1,4,5,2,4
30,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,Sales Representative,2,Married,2476,17434,1,1,1,3,3
26,Travel_Frequently,Research & Development,3,1,Technical Degree,3,Male,3,Research Scientist,1,Single,3102,6582,0,3,7,2,3
22,Travel_Rarely,Research & Development,11,3,Medical,1,Female,3,Research Scientist,2,Married,2244,24440,1,4,2,1,3
36,Travel_Rarely,Sales,2,2,Medical,2,Male,2,Sales Executive,3,Married,7596,3809,1,2,10,2,3
30,Travel_Frequently,Research & Development,4,3,Technical Degree,3,Male,3,Research Scientist,4,Single,2285,3427,9,3,3,4,3
37,Travel_Rarely,Research & Development,14,3,Life Sciences,4,Female,3,Laboratory Technician,1,Divorced,3034,26914,1,3,18,2,2
40,Travel_Rarely,Sales,2,2,Marketing,4,Female,3,Sales Executive,2,Divorced,5715,22553,7,3,8,5,3
42,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Female,3,Laboratory Technician,1,Divorced,2576,20490,3,2,8,5,3
37,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Male,3,Manufacturing Director,2,Single,4197,21123,2,4,18,2,2
43,Travel_Rarely,Research & Development,12,3,Life Sciences,1,Male,2,Research Director,2,Divorced,14336,4345,1,3,25,3,3
40,Travel_Rarely,Research & Development,2,3,Medical,2,Female,2,Laboratory Technician,3,Married,3448,13436,6,2,20,3,3
54,Travel_Rarely,Research & Development,5,2,Medical,1,Male,3,Research Director,1,Married,19406,8509,4,3,24,4,2
34,Non-Travel,Sales,4,4,Marketing,3,Female,3,Sales Executive,3,Married,6538,12740,9,1,6,3,3
31,Travel_Rarely,Research & Development,7,2,Medical,2,Female,3,Manufacturing Director,1,Married,4306,4156,1,2,13,5,1
43,Travel_Frequently,Research & Development,21,3,Medical,4,Male,3,Laboratory Technician,4,Married,2258,15238,7,1,8,1,3
43,Travel_Rarely,Research & Development,8,4,Other,3,Female,3,Healthcare Representative,3,Divorced,4522,2227,4,4,8,3,3
25,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,2,Sales Executive,4,Single,4487,12090,1,2,5,3,3
37,Non-Travel,Research & Development,25,5,Medical,2,Female,3,Research Scientist,3,Married,4449,23866,3,1,15,2,3
31,Travel_Rarely,Research & Development,1,2,Life Sciences,4,Male,2,Laboratory Technician,1,Married,2218,16193,1,3,4,3,3
39,Travel_Frequently,Research & Development,1,1,Life Sciences,2,Male,3,Manager,3,Divorced,19197,8213,1,3,21,3,3
56,Travel_Frequently,Sales,6,3,Life Sciences,3,Female,4,Sales Executive,1,Married,13212,18256,9,4,36,0,2
30,Travel_Rarely,Sales,12,3,Technical Degree,2,Female,3,Sales Executive,3,Single,6577,19558,0,2,6,6,3
41,Travel_Rarely,Sales,1,3,Marketing,2,Male,4,Sales Executive,1,Married,8392,19566,1,3,10,2,3
28,Travel_Rarely,Research & Development,17,2,Medical,3,Male,3,Laboratory Technician,1,Divorced,4558,13535,1,4,10,2,3
25,Travel_Rarely,Research & Development,3,3,Medical,1,Male,3,Laboratory Technician,1,Married,4031,9396,5,3,6,5,3
52,Travel_Rarely,Research & Development,3,3,Medical,4,Male,2,Manufacturing Director,3,Married,7969,19609,2,3,28,4,3
45,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Male,3,Research Scientist,4,Married,2654,9655,3,4,8,3,2
52,Travel_Rarely,Research & Development,4,2,Life Sciences,4,Female,3,Manager,4,Married,16555,10310,2,4,31,2,1
42,Travel_Frequently,Research & Development,29,2,Life Sciences,1,Female,3,Research Scientist,3,Divorced,4556,12932,2,2,19,3,3
30,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Female,1,Manufacturing Director,4,Single,6091,24793,2,3,11,2,3
60,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Female,3,Manager,1,Married,19566,3854,5,4,33,5,1
46,Travel_Rarely,Research & Development,18,3,Medical,3,Female,3,Manufacturing Director,3,Divorced,4810,26314,2,3,19,5,2
42,Travel_Frequently,Research & Development,28,4,Technical Degree,4,Female,2,Healthcare Representative,4,Married,4523,4386,0,4,7,4,4
24,Travel_Rarely,Sales,1,1,Technical Degree,1,Female,3,Sales Representative,2,Single,3202,21972,1,2,6,4,3
34,Travel_Frequently,Sales,6,2,Marketing,4,Female,1,Sales Representative,3,Divorced,2351,12253,0,4,3,3,2
38,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,Laboratory Technician,4,Married,1702,12106,1,3,1,3,3
40,Travel_Rarely,Sales,2,4,Life Sciences,3,Female,3,Manager,3,Married,18041,13022,0,4,21,2,3
26,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Female,3,Research Scientist,4,Divorced,2886,3032,1,2,3,3,1
30,Non-Travel,Research & Development,3,3,Life Sciences,3,Male,3,Laboratory Technician,4,Married,2097,16734,4,3,9,3,1
29,Travel_Rarely,Research & Development,3,4,Medical,2,Male,2,Research Director,3,Married,11935,21526,1,3,10,2,3
29,Travel_Rarely,Research & Development,25,5,Technical Degree,3,Female,2,Research Scientist,2,Married,2546,18300,5,2,6,2,4
19,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,2,Human Resources,4,Single,2564,18437,1,3,1,3,4
30,Non-Travel,Sales,22,4,Other,3,Female,3,Sales Executive,1,Married,8412,2890,0,3,10,3,3
57,Travel_Rarely,Sales,29,3,Marketing,1,Male,2,Manager,4,Divorced,14118,22102,3,3,32,3,2
50,Travel_Rarely,Research & Development,29,4,Life Sciences,2,Male,2,Manager,3,Married,17046,9314,0,2,28,2,3
30,Non-Travel,Research & Development,2,3,Medical,3,Female,3,Laboratory Technician,4,Single,2564,7181,0,3,12,2,2
60,Travel_Frequently,Sales,28,3,Marketing,3,Female,2,Sales Executive,1,Married,10266,2845,4,4,22,5,4
47,Travel_Rarely,Research & Development,2,2,Medical,1,Female,3,Manufacturing Director,4,Divorced,5070,7389,5,3,20,2,3
46,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Male,3,Research Director,3,Married,17861,2288,6,3,26,2,1
35,Travel_Rarely,Research & Development,22,3,Life Sciences,4,Male,1,Laboratory Technician,3,Single,4230,19225,0,3,6,2,3
54,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,Laboratory Technician,3,Single,3780,23428,7,3,19,3,3
34,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,2,Research Scientist,3,Divorced,2768,8416,3,3,14,3,3
46,Travel_Rarely,Sales,10,3,Marketing,3,Female,2,Sales Executive,4,Married,9071,11563,2,3,15,3,3
31,Travel_Rarely,Research & Development,9,1,Life Sciences,3,Male,3,Manufacturing Director,2,Divorced,10648,14394,1,4,13,6,4
33,Travel_Rarely,Research & Development,15,1,Medical,2,Male,3,Manager,3,Married,13610,24619,7,4,15,2,4
33,Travel_Rarely,Research & Development,10,1,Medical,1,Male,1,Laboratory Technician,4,Divorced,3408,6705,7,1,8,2,3
30,Travel_Rarely,Sales,7,1,Marketing,4,Male,3,Sales Representative,2,Single,2983,18398,0,1,4,3,3
35,Travel_Rarely,Research & Development,16,3,Life Sciences,4,Male,3,Healthcare Representative,3,Married,7632,14295,4,3,10,2,3
31,Travel_Frequently,Research & Development,20,3,Life Sciences,1,Male,3,Healthcare Representative,3,Married,9824,22908,3,1,12,2,3
34,Travel_Frequently,Human Resources,23,3,Human Resources,2,Female,3,Human Resources,1,Divorced,9950,11533,9,3,11,2,3
42,Travel_Frequently,Research & Development,5,2,Other,2,Male,3,Laboratory Technician,3,Married,2093,9260,4,4,8,4,3
36,Non-Travel,Sales,10,4,Medical,2,Male,3,Sales Executive,4,Single,9980,15318,1,4,10,3,2
22,Travel_Frequently,Research & Development,4,1,Technical Degree,3,Male,2,Laboratory Technician,3,Single,3894,9129,5,3,4,3,3
48,Travel_Rarely,Sales,2,5,Marketing,2,Female,3,Sales Executive,4,Married,4051,19658,2,1,14,2,3
55,Travel_Rarely,Sales,18,5,Life Sciences,1,Female,3,Manager,2,Single,16835,9873,3,4,37,2,3
